id,trade_date,user_id,server,broker_group,nfo_realized,nfo_settlement,bfo_realized,bfo_settlement,total_realized,total_settlement,net_pnl,max_loss,allocation,updated_max_loss,dte,summary_index,summary_dte,algo,input_fingerprint,updated_at
4246,2026-08-21,MADALMIA,VS18,AVG,0.0,2988.7,0.0,0.0,0.0,2988.7,2988.7,400000.0,200000.0,402988.7,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4247,2026-08-21,MADHU10,VS18,FIFO,0.0,1527.5,0.0,0.0,0.0,1527.5,1527.5,300000.0,150000.0,300000.0,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4248,2026-08-21,MSANDEER,VS18,AVG,0.0,1515.8,0.0,0.0,0.0,1515.8,1515.8,250000.0,125000.0,251515.8,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4249,2026-08-21,MSANDY05,VS18,AVG,0.0,1491.75,0.0,0.0,0.0,1491.75,1491.75,200000.0,100000.0,201491.75,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4250,2026-08-21,MSUMAN62,VS18,AVG,0.0,1493.05,0.0,0.0,0.0,1493.05,1493.05,200000.0,100000.0,201493.05,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4251,2026-08-21,MSUSHIL6,VS18,AVG,0.0,1496.3,0.0,0.0,0.0,1496.3,1496.3,250000.0,125000.0,251496.3,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4252,2026-08-21,MXESTATE,VS18,AVG,0.0,1474.2,0.0,0.0,0.0,1474.2,1474.2,250000.0,125000.0,251474.2,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4253,2026-08-21,SANDHU01,VS18,AVG,0.0,1513.2,0.0,0.0,0.0,1513.2,1513.2,200000.0,100000.0,201513.2,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4254,2026-08-21,SMRITITR,VS18,AVG,0.0,1512.55,0.0,0.0,0.0,1512.55,1512.55,250000.0,125000.0,251512.55,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4233,2026-08-21,AM006,VS19,AVG,0.0,29595.8,0.0,0.0,0.0,29595.8,29595.8,1200000.0,2000000.0,1229595.8,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4234,2026-08-21,ANITAKA9,VS19,AVG,0.0,1587.95,0.0,0.0,0.0,1587.95,1587.95,350000.0,175000.0,351587.95,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4235,2026-08-21,BHADADAR,VS19,AVG,0.0,1571.7,0.0,0.0,0.0,1571.7,1571.7,0.0,100000.0,1571.7,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4236,2026-08-21,LOYALKAV,VS19,AVG,0.0,1597.7,0.0,0.0,0.0,1597.7,1597.7,250000.0,125000.0,251597.7,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4237,2026-08-21,MNAVEENT,VS19,AVG,0.0,1619.8,0.0,0.0,0.0,1619.8,1619.8,250000.0,125000.0,251619.8,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4238,2026-08-21,MRAHULY2,VS19,AVG,0.0,3192.8,0.0,0.0,0.0,3192.8,3192.8,500000.0,250000.0,503192.8,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4239,2026-08-21,MRAJESSH,VS19,AVG,0.0,1588.6,0.0,0.0,0.0,1588.6,1588.6,400000.0,200000.0,401588.6,4,NF,4,A15,a8aeaf0c42306283bf7ed1f96f57ad19c341d526589d10408294d4e24f683ea5,2026-08-21T15:14:25
4212,2026-08-21,7RA1GT70,VS2,FIFO,0.0,1693.25,0.0,0.0,0.0,1693.25,1693.25,300000.0,150000.0,300000.0,4,NF,4,A15,58e0a7bb4d83d6cce321023fadbbf10305e975220f07d4794e40c6a57d261498,2026-08-21T15:13:20
4213,2026-08-21,7RIK2028,VS2,FIFO,0.0,1670.5,0.0,0.0,0.0,1670.5,1670.5,0.0,125000.0,0.0,4,NF,4,A15,58e0a7bb4d83d6cce321023fadbbf10305e975220f07d4794e40c6a57d261498,2026-08-21T15:13:20
4214,2026-08-21,AJ008HY,VS2,AVG,0.0,15198.3,0.0,0.0,0.0,15198.3,15198.3,600000.0,1000000.0,615198.3,4,NF,4,A15,58e0a7bb4d83d6cce321023fadbbf10305e975220f07d4794e40c6a57d261498,2026-08-21T15:13:20
4215,2026-08-21,ZZJ17218,VS2,AVG,0.0,1680.9,0.0,0.0,0.0,1680.9,1680.9,120000.0,200000.0,121680.9,4,NF,4,A15,58e0a7bb4d83d6cce321023fadbbf10305e975220f07d4794e40c6a57d261498,2026-08-21T15:13:20
4133,2026-08-21,7RA110035,VS26,FIFO,6.5,14916.2,0.0,0.0,6.5,14916.2,14922.7,1000000.0,1000000.0,1000006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4134,2026-08-21,7RA110085,VS26,FIFO,6.5,1670.5,0.0,0.0,6.5,1670.5,1677.0,180000.0,100000.0,180006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4135,2026-08-21,7RA110117,VS26,FIFO,6.5,1638.0,0.0,0.0,6.5,1638.0,1644.5,270000.0,150000.0,270006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4136,2026-08-21,7RA1KH71,VS26,FIFO,6.5,1651.0,0.0,0.0,6.5,1651.0,1657.5,315000.0,175000.0,315006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4137,2026-08-21,7RIK2015,VS26,FIFO,6.5,1641.25,0.0,0.0,6.5,1641.25,1647.75,360000.0,200000.0,360006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4138,2026-08-21,7RIK2017,VS26,FIFO,6.5,1641.25,0.0,0.0,6.5,1641.25,1647.75,315000.0,175000.0,315006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4139,2026-08-21,7RIK2026,VS26,FIFO,6.5,1683.5,0.0,0.0,6.5,1683.5,1690.0,225000.0,125000.0,225006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4140,2026-08-21,7RIK2029,VS26,FIFO,6.5,1683.5,0.0,0.0,6.5,1683.5,1690.0,315000.0,175000.0,315006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4141,2026-08-21,7RIK2042,VS26,FIFO,6.5,1644.5,0.0,0.0,6.5,1644.5,1651.0,225000.0,125000.0,225006.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
4142,2026-08-21,AJ008DI,VS26,AVG,5.2,35946.3,0.0,0.0,5.2,35946.3,35951.5,1380000.0,2300000.0,1415951.5,4,NF,4,A7,db8b10374bd8a22d4724e38ae98e28c7f6a94042227a0b04dba6976ebcb5012e,2026-08-21T15:11:08
